查询关键字,数据年份,发表日期,全部单位名称,作者名称,论文名称,来源期刊,刊次,分类号,页码,链接
乡村振兴背景下集体与个体的互惠共生关系探讨——基于四川省宝村的个案研究,2021,2021.06.17,南京大学社会学院,卢祥波;邓燕华,乡村振兴背景下集体与个体的互惠共生关系探讨——基于四川省宝村的个案研究,中国农业大学学报(社会科学版) ,No.03,F592.7;F327,[30-42],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke4nQzvP2Q9IYosykjl7GbPnWrcfP-Tw23reVxxzglWNgZM-8D72vHKLZIkEeBAZ-ggNMKaNRGBbISPNTeDqZJAOVPnvTyd0RMcieeGYwQ046192npzqqQ9s-uVjaxTKvzEpBXbGOkjjJRkqsIvr2EC9Ozfc76nGW3V2JRVVytMJg==&uniplatform=NZKPT&language=CHS
玩印探情——建构新的文人篆刻艺术史观,2024,2024.11.13,,朱天曙,玩印探情——建构新的文人篆刻艺术史观,读书 ,No.11,J292.4,[121-125],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keA_zo_JOyq3uxz_Kk2rZcddFAkBfj5GGFlp8moBKiiKmmJJD5lzgm0YI0BFqku7CtAIurSrc-hD6K66V3wrIMSmPDMjlzGvRBS-vlOcXPX__8uhMB_Yv7FSmVC-tepwSRT7jxVjAz_6jXO4rH5GIuko9wgxwCDI7kNr6hK23aXyw==&uniplatform=NZKPT&language=CHS
品格教育中榜样示范的问题与回应——以亚里士多德美德论为考量视角,2020,2020.05.12,浙江大学马克思主义学院,张彦;胡俊,品格教育中榜样示范的问题与回应——以亚里士多德美德论为考量视角,道德与文明 ,No.03,G41,[103-108],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kf-0N_0PCyAntpQyeSWX5TRk1wfp77aL9S7cJKv-iJxgMDYaJQS2qzrXU-LhgfVEacdETGTw3Y8yr8x-ag35dAryjTAzK927OJEGzzk8FIg4qFueyk3BwHfGSJs2-ws8b9FOeyvwu3E8vqzEqqfhSAiqv1aBxQRVQZJltWChflACQ==&uniplatform=NZKPT&language=CHS
潭门渔民生计方式与人-海关系变迁的民族志考察,2021,2021.09.30,广州大学公共管理学院,王利兵,潭门渔民生计方式与人-海关系变迁的民族志考察,中央民族大学学报(哲学社会科学版) ,No.05,K28,[107-115],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfxrRYByZQb3smTFUWG449CIlHRd9QSEAC6fLmb2E_6FE2igDqdRsIPLHMipdzcZu0OHogwFQ2XwYs0qsVO0IoFpHeH1TkM68tK1QE8qOpdzm3dHp1mhww_RAzAb8GHuQyrEp1HsYrJ8NUXYiw_saxZfqW9-REL2mHACAw67IiXMw==&uniplatform=NZKPT&language=CHS
国家治理现代化视角下政策措施落实情况跟踪审计研究,2022,2022.04.24,,余应敏;孙钰鹏;黄静;郭小敏;王光鹏,国家治理现代化视角下政策措施落实情况跟踪审计研究,审计研究 ,No.02,F239.44,[11-18],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd14rga0YysMStQKO6SjQmfBAYRU8Dj4MykuoxOjS_KLoybUx9oQarAZBy3EFHWvKDwlEvIcOM_ZEODjvdznuUPPBery-uas5EMV5besGoZccWMoKRyGzRU1glpYtfVfvTEakB17aTqsx8hbdNOejIma1g6DK9J0F6Lur63C1Gpsw==&uniplatform=NZKPT&language=CHS
行政区划调整与企业投资趋同——来自撤县设区的证据,2023,2023.09.07,中央财经大学会计学院,袁淳;吕杰;盛誉;耿春晓,行政区划调整与企业投资趋同——来自撤县设区的证据,管理评论 ,No.07,D630;F275,[298-309],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kd-0Qe6v8r7ioewL6zPiOXoM9dZQTXkNgmHhyTMyvimqtdGbL5HhQefb5QsYxby38Zn7fpz7d_3l4io1qa4HYnwuVrcwdw24whliMC0L9Xoj9x4h_xHmQqcE19auZVjCYfmSzMzYoh55TDZ5dJ5iVjsLYj2qkg_Xrt3r-5j7kFK6g==&uniplatform=NZKPT&language=CHS
治理有效：城中村的治理失序与乡村治理重构,2021,2021.04.30,中山大学社会学与人类学学院,黄晓星;丁少芬,治理有效：城中村的治理失序与乡村治理重构,广东社会科学 ,No.03,D422.6,[210-223],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcOmN2Ntn9JZOKdVrjnfVyojuF7CTPpcGQe8YgOKoMo58ns2GCxuQPG-L1S1hRYPDCzf9gkkdPO4JPcM06ooQz8JtajASGqAdF2o5tfgsGdfUqbvH4t1K0jjMBUxBrMglgjggagSPv0cpAPW9SXqfD2ahYx2EsKJLGOvyS5ds-v0Q==&uniplatform=NZKPT&language=CHS
中国城市民生发展的区域差异测度、来源分解与形成机理,2020,2020.05.29,山东财经大学经济学院,陈明华;刘玉鑫;刘文斐;王山,中国城市民生发展的区域差异测度、来源分解与形成机理,统计研究 ,No.05,D61,[54-67],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kf1AGJKVELecGDg-cPTZoCG61-adQTap-tpiCH3Cyg6o_rZULH89Zi3nIhPJAhky2gaYpta8q1oiMkoaM5wFqej81TQ9OSk246hoFrIeYkyK1hsur1tqjQ-V8q9d-e1MCEcj5wclihCo09DzmIUqRdXnDV2otM94e70Cdi3Eb1CyQ==&uniplatform=NZKPT&language=CHS
制度的力量——中国社会保障制度建设与收入分配公平感的演化,2021,2022.01.13,1.西南财经大学财税学院;2.南京大学社会学院,黄健;邓燕华,制度的力量——中国社会保障制度建设与收入分配公平感的演化,中国社会科学 ,No.11,D632.1;F124.7,[54-73+205],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kclqNPLuTLsZ_6QJEJcxfMd7aK4cfgNjct_LUlVPClILH0b2gYUWZLG4VOgbREVnDiJWgjfYeMJXuchVoarwoFUQo1Hmj8-dIRMTMar2LVCDNB1e9Yzk0D-w-c_p3JZNRLjbn2DH9YWLJPCNAWZbHv3U5KEGbF_LhF_c3bi_DWXrA==&uniplatform=NZKPT&language=CHS
基于大数据的文化心理分析,2023,2023.03.06,1.厦门大学社会与人类学院;2.厦门大学传播研究所;3.广州大学公共管理学院;4.武汉大学哲学学院;5.南开大学周恩来政府管理学院;6.中山大学广州粤港澳社会心理建设研究中心;7.中国科学院心理研究所,吴胜涛;茅云云;吴舒涵;冯健仁;张庆鹏,基于大数据的文化心理分析,心理科学进展 ,No.03,C912.6;TP311.13,[317-329],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4ke8VYMUwGMZfh7tOk1Y1YLV7_Y0nf2WG_95_6QgmxM300m80q7UmhDqb0A1LJu12dlGy2U94omhzef3sTArUCg8dM7CUzSacv_MC5LOJ79ft0ljaEz4Z2sth80lUW17BJxo8sOT6OBWWUiuMrZCqsPKqktkzU9kyeiyxYHQf3G4Zg==&uniplatform=NZKPT&language=CHS
中国适应气候变化的科技政策变迁与展望,2022,2021.08.30,1.北京师范大学政府管理学院;2.北京师范大学全球共同发展研究院,王华春;王英杰,中国适应气候变化的科技政策变迁与展望,科技进步与对策 ,No.14,F124.3;P467,[122-131],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdTa24LqEcdohyzLJAJ1GG_JwJrkxyXjIl363R4uCwPRu3xT1mmkYgeTojOvxQFHEdb0luaYaP743Xc8V1Wfz4_VncLUEu3AW3lj2RMrtBa6o7KJ5DTeJMI7fJfMJeTcaUQXOP1-fmT2cmMvVwVdG0h_pWELOOSUO537Rg1QLhCXA==&uniplatform=NZKPT&language=CHS
体教融合背景下游泳项目中小学贯通培养模式的实践研究——以北京师范大学附属实验中学游泳项目“金奥+”培养模式为例,2022,2022.08.23,1.北京师范大学附属实验中学;2.北京体育大学,张义亮;高捷;胡莹菲,体教融合背景下游泳项目中小学贯通培养模式的实践研究——以北京师范大学附属实验中学游泳项目“金奥+”培养模式为例,北京体育大学学报 ,No.07,G633.96,[95-103],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc4ZD9ew7OT26UJq_7tubUthXIygdl3EnF4xuHga9u1AYjrg0OwqIzvjQb-HS6-AIyscXfEnokMJd8A-OK8GY-eXSJ7TDASXgS7lWD2UrTTxEQKF1gyJosTrAwBIXM8nLOME-68yjMhcsKKc6uvVDDEYWxbzwgOKYBuvJlLtmnoxA==&uniplatform=NZKPT&language=CHS
晚明江南室内营造典范的确立及影响,2020,2020.06.18,南京艺术学院博士后流动站,王春雷,晚明江南室内营造典范的确立及影响,南京艺术学院学报(美术与设计版) ,No.02,TU238.2,[40-44+210],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdVyaCAgyYkKP--s-B7Cf2otwaR79MfUjRCP-eqG3kCezvkiHSsK0cWYHvNGwRPyerOX9HB3NaNLkW2GLLeT5Tzz8wtSE4Yz2x5e-UHHYQHH9cnB2gh7q7g7CGJtpV2OTNOZ7xRE9K56hebNSsHnF0x8AnjzjdUnLhohyy-cJACUg==&uniplatform=NZKPT&language=CHS
固定资产加速折旧政策与企业环境社会责任表现,2024,2024.07.04,1.中央财经大学会计学院;2.福州外语外贸学院金融学院,梁上坤;赵美涛;张丽,固定资产加速折旧政策与企业环境社会责任表现,统计研究 ,No.06,X322;F832.51;F275;F270,[99-109],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdDQaJtnAJSE0sdMHMtFamMc9_ry_lmE2qaAgKdXZQKS-AFtWJqWWe3Qgq7JMxVm2rmxH8eCJ1Y6HZC6W0yZboPFAP7YdSTfFr48H4nDiMF8d6Zj5k7K1bZaYSy6JgDTsN4xCglsosOwoQbisPre6yEQGFTcuk2x5X4lOt1mhqUzw==&uniplatform=NZKPT&language=CHS
突破式创新对分析师行为的影响——基于上市公司专利分类和引证数据的证据,2021,2021.05.19,1.中央财经大学会计学院;2.中国管理会计研究中心,李哲;黄静;孙健,突破式创新对分析师行为的影响——基于上市公司专利分类和引证数据的证据,经济管理 ,No.05,F273.1;F832.51,[192-208],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcdbj629YM8B5CihPDi0if5HiQ1NsBroB_92YkGa7yH7dF28M-sMaOnppWeH_UYSzklsqtPHiSIYEcgjle5yVUhKNI5ZD5i5XULB0UdllC2UtnbOGEUJRyCnJT85g8O1bYjvTLnEbP0eEsEd3Aa52Y3mR4-BGR7gbYr1HTKpHcv6Q==&uniplatform=NZKPT&language=CHS
出口退税效率与企业出口绩效,2024,2024.01.26,1.北京师范大学统计学院;2.清华大学经济管理学院,卢冰;马弘,出口退税效率与企业出口绩效,经济学(季刊) ,No.01,F752.62;F752.5;F812.42,[67-83],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdKnG-l55um2NLbwDF1W3LXviYHfYZu_eYyrP3RTgldqZUCTneWZnrEcQLudiCjPnMelHKUyxXLrP_U-WIrxg5fCGWOqMyEOS1WuLoxIx3HKOiCg6jDAaFmsWDbFEYmQDZBJuw_VLmAaC884ZS2QxQ9DrxmovXE4Q3DiZtu4sy_jQ==&uniplatform=NZKPT&language=CHS
低空经济：“飞”出新赛道,2024,2024.05.14,北京航空航天大学人文社会科学学院,沈映春,低空经济：“飞”出新赛道,人民论坛 ,No.08,F562;F426.5,[74-79],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdAMG7mJlQErV2uOZAuIpJLzkzCo2Q1kQPwLaLKYZshYPJciyYan3XaaKCIr_Y0F9JfomMbpzP1QvLPe7yA6uZjd18ojoPOwMICLN43FmKdq2fSw0OvmyKybTDDME5pvc_99E9JO-gNLAEDZmtAJpoSTMjNtxrdbMOpYWD9Yu2POA==&uniplatform=NZKPT&language=CHS
重大关键核心技术中的“衍生小技术”——以双光子 STED 复合显微镜项目为例,2021,2020.10.13,1.北京航空航天大学公共管理学院;2.北京航空航天大学高等教育研究院,章琰;朱英;郑晓齐,重大关键核心技术中的“衍生小技术”——以双光子STED复合显微镜项目为例,科学学研究 ,No.05,TH742,[876-881],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keWXAlE9TGN8rRW7b4s-TulHS2n0yruZdIHXheQqdQvVREyO62VNURIPjBWKK6zXgcxRBy9d4AkafjV4wllgO9nlJw023HzuRPgw6RXRNEdgQJW5iZxb3Jw8Hej9Nday7irJv-QbJa9A91mC8jQMgLSFXtjsBDMZ425FwbVFZsZoA==&uniplatform=NZKPT&language=CHS
从文明帝国到帝国文明,2022,2022.06.13,,康子兴,从文明帝国到帝国文明,读书 ,No.06,D033;D0,[33-42],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kft6Qld6EFcFpu6TRZKcSrE6jH0MlHC50-QwdxyOZuLG84AGGZBZ42GrUC-igyIg6R4bqDOE4EubwOnl7Aq1FkLCp60Lq_cDhTZOw3riljwfe5pShAEeTGOiLutoNiYGfEfdkkS2HRQ-9Ig0NH9R8sUJ3CWpk29uDnYVdzbtg_H2Q==&uniplatform=NZKPT&language=CHS
找回亚当·斯密：英国大臣在行动,2023,2023.08.15,,康子兴,找回亚当·斯密：英国大臣在行动,读书 ,No.08,F091.33,[107-115],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfH_FRLJ6HYfFYnejY5Wmea10Af0g-uDlu5xdWSjuYr_ey2IGd4IiBhR_OkErd5XF5MZHZ7h1NOPUgwjRAqCdsDorzaFiksWbQNIpcUKSZbwvgKRnHh7EkK4uLvdMtSOlire9TP2fPitIpUEqRH2paM4Bm1IoAkf0h3JzltsW3JpQ==&uniplatform=NZKPT&language=CHS
由《明夷待访录·学校》篇看儒家政治哲学的内在可能性,2021,2021.10.20,首都师范大学政法学院,盛珂,由《明夷待访录·学校》篇看儒家政治哲学的内在可能性,哲学动态 ,No.09,D0,[36-42+127],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdNTBC1WINcJF6EdmKHp3ZNxJsGVEhZmpUA0zv1qmJ5QtBIFbXxRpPl3cH9LgLlHkO-1fJX2ErSuL2h337KiwU4cPUFaTIyS59ZD_HLeQyI5BsJSqA3vqROxum3cqtFjGAWPiRGiCktWwQnEDLSvxTcW3RIlSdfhk0q6AsU7CjwuQ==&uniplatform=NZKPT&language=CHS
从大数据神话拯救隐私,2022,2022.01.29,,余成峰,从大数据神话拯救隐私,读书 ,No.01,TP311.13,[167-176],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keyW3I0JCXzB-8Zq4uB7ZVT_cyO2PBZO0ozmLB40tNsAXi73wlnck3DvgvSu9e3FJBPuEpTXyAb-Wki9keCbcU2ezPpyxD_qSepfCBfoDibpFHkWQBuNr2KeiTU_wwxYxugR3FnCmSZUgs81LapIC9I4LJnL4SD_F4NU2MknfaTqw==&uniplatform=NZKPT&language=CHS
第四波法律全球化？,2023,2023.05.12,,余成峰,第四波法律全球化？,读书 ,No.05,D90,[140-148],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfeqw3yjMiZhrRmpphowfMVlueQcnmQByMuSCRbLyESf4g9uVFKMYtpL_OIqpOgQ8GhI9Pu2jWx_4xY6bub8HVq2k6BUz2BI-UDScLpKYyjW28WBBkUEcPNao2v-H0mtIILN1OBZz1VZhXtYUlsUjVaEx8sPUGCVwxeofFKIcP8Pg==&uniplatform=NZKPT&language=CHS
机器情感对人机关系的重构及伦理反思,2024,2024.09.02,广州大学新闻与传播学院,邹军;谢婷,机器情感对人机关系的重构及伦理反思,现代传播(中国传媒大学学报) ,No.06,B82-057;TP18,[27-34],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfL6oljtuDL7_0JxVBARY_moKGzTglaXW6AslHu-rZL6NKo9nZPCOKGvVw_gIE2VCkI3ryD7iXE3HNCAqzMLebasSHun-rPCMODkeLIuMoMI3O-lt29xdJ-rn0OjidfYKk2fModWXwO0Qg7AMhPoYhfWVT1OkZfPGqzvz-r5pKdgA==&uniplatform=NZKPT&language=CHS
全球计算宣传的趋势、影响及治理路径,2022,2022.08.16,广州大学新闻与传播学院,邹军;刘敏,全球计算宣传的趋势、影响及治理路径,现代传播(中国传媒大学学报) ,No.06,G206,[28-36],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcHgHajr8999dojdi6c_HDpk9csdffvRUFM1e3hVo_hEIAg3QADaz2wu6YdhDFq3L_BrFt5gASeuL1dn_JkiFKfW-XSSb0LT83EDPg7yQSw0gK90W2xhDbuVm6AgfOPA6sbdMlEX87IOqiTfujd9W_1H2q0QEAXWeQU7NuB186f0g==&uniplatform=NZKPT&language=CHS
当代世界百年政党现状与百年大党标准,2021,2021.07.21,1.中国人民大学国际关系学院;2.浙江（嘉兴）中外政党研究中心;3.中国统一战线理论研究会政党理论研究基地,周淑真,当代世界百年政党现状与百年大党标准,人民论坛 ,No.19,D05;D50,[16-20],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfTXReTUNxXOJXCCAdHs5NPU_2Wltj97uJtw7vGUKxWAmUwFuEbSQa5DmJfdEbqCpPp4PYSfWuWlb74vQH1FO1QfAsoHwvNsYdYJIWrmVtTuIq3LIJr3LmnYvQbNyt_Xf6fPGT09PP9qI3srfKkaiSFyK4fWhbhIjoo8xUB6R0RfA==&uniplatform=NZKPT&language=CHS
建设学习型政党的重大意义与现实路径——十九届六中全会精神怎么学、怎么悟,2021,2021.12.14,1.中国人民大学国际关系学院;2.浙江(嘉兴)中外政党研究中心;3.北京师范大学政府管理研究院;4.上海交通大学国际与公共事务学院;5.上海市行政管理学会;6.中国社会科学院大学政府管理学院;7.中国社会科学院政治学所;8.上海交通大学马克思主义学院;9.四川大学马克思主义学院;10.人民论坛,周淑真;唐任伍;刘帮成;周少来;张雪梅,建设学习型政党的重大意义与现实路径——十九届六中全会精神怎么学、怎么悟,人民论坛 ,No.33,D261,[20-23],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcOX2seALHvdmTgYnWtKc5c3niWbcDI-frLIFdar9F_JiBnLAFMPWuhNOkCmO-UU4tCqAfI0TOVN-wI5cziZPkk4PuKBTKFlcXH6IhveqXD_bdj0WNgO_kQjYtwII7nbFdHut1MycN9Ifex9KsLaoM6zEmu-Wa85ey7a-_M-ulfLQ==&uniplatform=NZKPT&language=CHS
中西文化交流史中的苏东坡诗文——从最早的西译说起,2024,2024.05.15,,姚达兑,中西文化交流史中的苏东坡诗文——从最早的西译说起,读书 ,No.05,I046;H059,[158-166],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdcxlAC84srtMKOmFWqHJ3SJ-TUQD_32Y7yi-hNsAw1Lo2TSIVcnS5o-7jgbA-Y6n1BEyj4xxoHNE8rjm1D6sX8kJUWkP2eZruPTN_aqx7ZlkxuSfPgcx0Qtj-xTn0yR1RMTsJyFwA4zDTWvNRhyWKe_ivdhm11AN8jj3whHdLm5A==&uniplatform=NZKPT&language=CHS
中国共产党与政治文明新形态,2025,2025.03.24,华南理工大学马克思主义学院,卢志华,新时代中国政治文明新形态的内容体系,上海市社会主义学院学报 ,No.02,D61;D25,[127-145],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdJaPhEfu1_mxtrleBKyCHmNvgNOp2PzbekmZgPWfNkmVU4GcMDXG2Aym-2AVBX1s0toqBJ1LiEK68_lggYMzzkI0JTUS3qJgfBQvDCDsOe2_xYJErCmE7g5-WvijIcRfYJDLdM_9T4dNvc5NPoaPSjI65vWQEgl7cI0cbcNVO3iQ==&uniplatform=NZKPT&language=CHS
新型政党制度的重要政治形式和组织形式,2022,2022.05.26,1.浙江〈嘉兴〉中外政党研究中心;2.中国人民大学国际关系学院,周淑真,新型政党制度的重要政治形式和组织形式,红旗文稿 ,No.08,D621,[26-28],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kdso2vBGnQWoE8n4FvoqwNiBkie1_ElzhZqcqcpoXQuYFuMwD2SdthlMFIm-jpJHPCGlqcbRGAxLVaxd3u1_-AbOz97v7b0yBX14zJkYnbALrH8H6idtF5NzH180w6yo0bqbB_ApgZ31upnDxm5Ye37ZA2tl7yOD_1ybqjQQNtCPw==&uniplatform=NZKPT&language=CHS
人民政协：全过程人民民主重要制度载体——历史逻辑、方位体现与职能机制考察,2022,2022.04.29,1.浙江(嘉兴)中外政党研究中心;2.中国人民大学国际关系学院,周淑真,人民政协：全过程人民民主重要制度载体——历史逻辑、方位体现与职能机制考察,当代世界与社会主义 ,No.02,D621,[20-28],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keeNE97e9kdneO8Au5E24a1FJBOw4nL9qVNVz0QMRDU5IWC99ro_wwb8A278nvxMknZOY1KuBTiTnRDoSwDItpXc8T5E1-J2oAfrcVsX3ykzIlPvh-BPI2M8w1pR8TOX5NQ0VtozYGlr4GLEGhUDISPOvu25HxgARaver9SfP8OFQ==&uniplatform=NZKPT&language=CHS
信任构建机制对共享民宿预订量的影响——基于Airbnb的实证研究,2021,2020.11.25,山东财经大学管理科学与工程学院,徐峰;张新;梁乙凯;王高山;陈云,信任构建机制对共享民宿预订量的影响——基于Airbnb的实证研究,旅游学刊 ,No.12,F713.36;F719.2,[127-139],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcA2VJ4K2XbfSLuo3psWoRR16La29o8BMvJTQDiWNeiaspO4W870BpDDcLFX7lvhLU1tQwXc9IVEk-jnrdiXkNBkH7qkX6DnPDc5qWlvo5m1YvWH2VKHsq1th4fhZL0hFAOdJVzt6_zmZBnwYtmbpSyFDpMjgbHYekt34TYtLWy4g==&uniplatform=NZKPT&language=CHS
开放政府数据原则比较研究,2022,2021.11.23,1.山东财经大学管理科学与工程学院;2.中南财经政法大学公共管理学院,梁乙凯;陈美,开放政府数据原则比较研究,情报理论与实践 ,No.05,G203;D035,[196-203],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfR4DC_EpD3vq_Y9QHqDHmNIbPRCkjcIcRaYk3gT9G__eDi5KKyoJZU8CkE-m2PmfUPQZO-abw9lE6Km0-dzyqSiBcgiz496tc54hwrHrf3yGxncO_H-2Bf5SydET9Cl_7FaF66h6ORbAXcuhJfliA4JSrBkpgW9CoeFjjKkDXeEg==&uniplatform=NZKPT&language=CHS
如何以多价值链协同实现制造企业生产预测优化?——以电力制造企业为例,2024,2024.07.23,华北电力大学经济与管理学院,牛东晓;李明钰;余敏;凌周玥;张洋,如何以多价值链协同实现制造企业生产预测优化?——以电力制造企业为例,工程管理科技前沿 ,No.03,F426.61,[18-27],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfZBjBjdVcyMCv3_2gsP10raRgl262vrITWX-SIzHpxweakQ8hE2MH7VAdwDXNg_xrCy2sT19gdY0K8AdWJ6q5QVoC09Kdd49y2pDvxcNPTe8CYTcT1FIdD2Foh3LSyfhKXQvSmFLDZ3g2A68rWranM7eqk9B72U_d4wsR-C9V3Gw==&uniplatform=NZKPT&language=CHS
开放注释理念下的出版后同行评议实践研究,2022,2022.08.23,1.武汉大学信息管理学院;2.厦门大学新闻传播学院,刘叶萍;王嘉昀,开放注释理念下的出版后同行评议实践研究,中国科技期刊研究 ,No.07,G237.5,[980-987],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kc_fJMwZvs7h1juZDf7oK3qub159GHLLVfCkSgoATva3oEzYU5LtCDd45KFbcOQBS0Q76vAaOrk2ip-Z8LprWlIW5XiPElQXsGnXBEizLHPyzgFzantr7P9Ki4rcmrQmMBQ_J-RSuDvzKclgMv-gjbpLj5YqHoDzpN_Vr8RwBiY5Q==&uniplatform=NZKPT&language=CHS
从学术走向公众：当代中国“内卷”概念及其话语变迁,2023,2023.10.07,广州大学新闻与传播学院,邹军;何镇辉,从学术走向公众：当代中国“内卷”概念及其话语变迁,现代传播(中国传媒大学学报) ,No.08,G206;D669,[39-48],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kccd91Ed5-FZKiPlORhYo74KA5sr68muvLLEmPLEe4eBfPX-UKHrAnpu_Eki3_VS_1mx3AHHpuCH_41iZy8raflNGfnA1uoAVfSLcPAqCPrGx8I8KoqTSfI5TmK1xJH8jPvQmDxcITbBnicA6qoX7r26j-rA7-yaekBfFil3yP4RQ==&uniplatform=NZKPT&language=CHS
认知神经科学视角下的数字阅读认知机制研究进展,2023,2023.06.08,武汉大学信息管理学院,刘叶萍;袁小群,认知神经科学视角下的数字阅读认知机制研究进展,图书情报知识 ,No.06,G230.7;G250.7,[129-139],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kcQCcw5uSclpT6ZCN9hSNeH0TiVrkOKwLNUIAnK-bI1Fg_Um5InqiJVegZymGBpvOx54fLgO99Dp3uWYxEb3JK94uJsNyKbAGTBNFUid8lAS2nxVuWn3PWYF19Th4ytMtN5axzd20nFqD9m_iXHG1vojy_gzEwjWNiXjqH-1grn_g==&uniplatform=NZKPT&language=CHS
“一带一路”多语种共享型数据库的跨语言检索功能分析与开发策略,2021,2021.05.14,武汉大学信息管理学院,司莉;周璟,“一带一路”多语种共享型数据库的跨语言检索功能分析与开发策略,图书情报工作 ,No.03,G250.74,[20-27],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4keu_nikAhu3Nj3nKB9v6bTXLa8Pf8byJYrGFiA-WzPUykRSEvaeMHWpFFt5-keJf9qfrz6Zu3VTJXUSoBkHejdEChjJX94St7F4zHRp0zLaGFnYGIyl2YshxxjLwaK6XJdL3MNy2zr8X4ESy43Hu65-YDb2aDjh7Pi5Udk8Y9v81g==&uniplatform=NZKPT&language=CHS
出版业高质量发展目标之开放发展——以制度型开放推动出版业高质量发展,2024,2024.05.30,1.武汉大学信息管理学院;2.武汉大学出版研究院,方卿;刘叶萍,出版业高质量发展目标之开放发展——以制度型开放推动出版业高质量发展,编辑之友 ,No.05,G239.2,[42-49],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfNxxTEDvD9-Gl_C_rV5uj-MFU0LvlwOf07QzOCNRjqB9B5vTf3kfYWWr02o1xpT35NBORVE7fLA2P7A8lTKOeqash2Xd69SoNQUyrFvm3ApH-FPPBdxjfIOCr8L_8uWhqZ2F0S1v2ZYVH4RuP49yJyDFIC5YWbjSextjYhBsqxnQ==&uniplatform=NZKPT&language=CHS
国外数字保存联盟的风险与管控对策分析,2024,2024.01.11,1.武汉大学信息管理学院;2.中国科学院文献情报中心,司莉;司涵晖;孔贝贝;周璟;胡吉颖,国外数字保存联盟的风险与管控对策分析,图书情报工作 ,No.10,G250.7,[15-23],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kficPO9ukvjlhV-gHEvbM-1bm9xoR2XGbjvRgd4ZNEhp_dXUaFr7_1F3gsWRrACB3fkQXcWwKcw1oYJJwEC8OL1MvrLrGPgZDFbnJ2G5z5o-D3ZZk3JJmOEvfPdgA5LsfNzMqWlBfc7Ws9F53wcpHHl1yWvFbXA6bDWY1_SeZ-bHA==&uniplatform=NZKPT&language=CHS
实体与媒介：科学共同体视域下的《科学》杂志,2023,2023.06.08,武汉大学信息管理学院,吴永贵;朱晓婉,实体与媒介：科学共同体视域下的《科学》杂志,出版科学 ,No.03,K25;G239.29,[115-121],https://kns.cnki.net/kcms2/article/abstract?v=d7HKHDfP4kfF530J7dASOm8_qgXqbrMk1EjJCUpf42NpDuDaqTxlar7rFnPrtrDmPk4eTnOzMKht9cyQ65celXEVJAZGrfVItDuFAjTVHauuam0ggDzMBGihlxUfCM0BtjDb51KVf281j8M2C5BR7lHKjMNQvGoWVP2bYJBu6INQiBFSEmZuaQ==&uniplatform=NZKPT&language=CHS
